,HBA,HNA,TA,IA,BP,APAP,NDA,HQ,"4,4'-Sulfonyldiphenol",Bond Angle,pKa,Refractive index,Density,Complexity,Heavy Atom Count,Topological Polar Surface Area,Rotatable Bond Count,Hydrogen Bond Acceptor Count,Hydrogen Bond Donor Count,XLogP3,Molecular Weight,Thickness,Frequency(MHz),Q factor,Dk,Df,Melt Point,HDT (Â°C) @ 1.8MPa 
A950RX_1,0.73,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.9,4.4422,1.5086,1.3925,152.54,11.08,57.5,1.0,3.0,2,1.951,151.6362,0.85,9749.8481,5173.6,3.52008,0.00165,280.0,168.0
A950RX_2,0.73,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.9,4.4422,1.5086,1.3925,152.54,11.08,57.5,1.0,3.0,2,1.951,151.6362,0.85,9750.2115,5158.6,3.5164,0.00165,280.0,168.0
A950RX_3,0.73,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.9,4.4422,1.5086,1.3925,152.54,11.08,57.5,1.0,3.0,2,1.951,151.6362,0.83,9757.7115,5091.1,3.4991,0.00174,280.0,168.0
A950RX_4,0.73,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.9,4.4422,1.5086,1.3925,152.54,11.08,57.5,1.0,3.0,2,1.951,151.6362,0.83,9755.3415,5101.9,3.52364,0.00172,280.0,168.0
A950RX_5,0.73,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.9,4.4422,1.5086,1.3925,152.54,11.08,57.5,1.0,3.0,2,1.951,151.6362,0.78,9773.0215,5327.5,3.4899,0.00172,280.0,168.0
C950RX_1,0.793,0.2,0.007,0.0,0.0,0.0,0.0,0.0,0.0,174.0,4.44521,1.49635,1.41084,145.708,10.814,57.6197,1.007,3.007,2,1.8628,148.32807,0.82,9763.5615,5303.8,3.46814,0.00166,325.0,176.0
C950RX_2,0.793,0.2,0.007,0.0,0.0,0.0,0.0,0.0,0.0,174.0,4.44521,1.49635,1.41084,145.708,10.814,57.6197,1.007,3.007,2,1.8628,148.32807,0.81,9761.4175,5237.6,3.52121,0.00169,325.0,176.0
C950RX_3,0.793,0.2,0.007,0.0,0.0,0.0,0.0,0.0,0.0,174.0,4.44521,1.49635,1.41084,145.708,10.814,57.6197,1.007,3.007,2,1.8628,148.32807,0.84,9759.383,5276.5,3.45238,0.00164,325.0,176.0
C950RX_4,0.793,0.2,0.007,0.0,0.0,0.0,0.0,0.0,0.0,174.0,4.44521,1.49635,1.41084,145.708,10.814,57.6197,1.007,3.007,2,1.8628,148.32807,0.82,9762.9324,5308.5,3.47473,0.00166,325.0,176.0
C950RX_5,0.793,0.2,0.007,0.0,0.0,0.0,0.0,0.0,0.0,174.0,4.44521,1.49635,1.41084,145.708,10.814,57.6197,1.007,3.007,2,1.8628,148.32807,0.83,9760.5768,5252.1,3.46943,0.00167,325.0,176.0
G950RX_1,0.6,0.0,0.13,0.07,0.12,0.0,0.0,0.08,0.0,175.8,5.3889,1.50068,1.4412,131.292,10.72,57.52,1.12,3.0,2,1.819,147.252,0.82,9760.5684,3775.8,3.49391,0.00276,325.0,234.0
G950RX_2,0.6,0.0,0.13,0.07,0.12,0.0,0.0,0.08,0.0,175.8,5.3889,1.50068,1.4412,131.292,10.72,57.52,1.12,3.0,2,1.819,147.252,0.79,9769.5255,3924.1,3.49075,0.00272,325.0,234.0
G950RX_3,0.6,0.0,0.13,0.07,0.12,0.0,0.0,0.08,0.0,175.8,5.3889,1.50068,1.4412,131.292,10.72,57.52,1.12,3.0,2,1.819,147.252,0.82,9761.8255,3814.9,3.48074,0.00273,325.0,234.0
G950RX_4,0.6,0.0,0.13,0.07,0.12,0.0,0.0,0.08,0.0,175.8,5.3889,1.50068,1.4412,131.292,10.72,57.52,1.12,3.0,2,1.819,147.252,0.78,9774.847,3974.6,3.46391,0.00272,325.0,234.0
G950RX_5,0.6,0.0,0.13,0.07,0.12,0.0,0.0,0.08,0.0,175.8,5.3889,1.50068,1.4412,131.292,10.72,57.52,1.12,3.0,2,1.819,147.252,0.8,9770.347,3916.4,3.45093,0.00272,325.0,234.0
